sclaim_number,sjob_no,dtpaid,cpaid_parts,cpaid_labor,cpaid_sublet,cpaid_other,cpaid_deductible,cclaim_taxes,claim_total,spayee_state,dtclaim_paid_date,Cause_of_Loss,Loss_Code,Claim_State,Coverage_Type,Date_Claim_is_Reported,Date_of_Loss,Make,Mileage_At_Claim,Model,Model_Year,Repair_Description
C000019172      ,A02 ,12/21/2021 0:00,703.73,595,0,0,0,0,"$1,298.73 ",WA,12/21/2021 0:00,"Tech duplicated concern int the brake pedal switch is sticking bc it seeing throttle and brake its thinking thats causing issue p2299 p0573- road test and circuit check to confirm part failure
2 surface of axle shaft has caused wear on axle seal",DA001FF ,WA,DA001FF ,11/17/2021,11/17/2021,DODGE,71601,RAM 3500 LARAMIE,2012,Internal Lubricated Components                              
C000015592      ,A01 ,5/19/2021 0:00,290.8,224.92,0,0,-100,0,$415.72 ,WA,5/19/2021 0:00,left front wheel bearing has failed. (to much play)  c0035 is system,SU017A  ,WA,SU017A  ,5/14/2021,5/14/2021,CHEVROLET,126000,SILVERADO K1500,2006,Wheel Bearing(s)                                            
C000017672      ,A01 ,9/27/2021 0:00,0,0,0,160,0,0,$160.00 ,VA,9/27/2021 0:00,"found in system p1d8f incorrect gear ratio clutch 1. p1d9f incorrect gear ratio clutch 2. p1d9g incorrect gear ratio clutch A or B. p1d95 transmission control module failure (internal to transmission). p215c output shaft speed.
Took sample of trans fluid. Fluid is contaminated with clutch material and burnt. 
pan is off of vehicle",TR001F  ,WA,TR001F  ,9/1/2021,8/25/2021,DODGE,88121,DURANGO R/T,2014,Internal Lubricated Component                               
C000017672      ,A01 ,1/19/2022 0:00,3618.9,1902.88,0,0,-200,0,"$5,321.78 ",WA,1/19/2022 0:00,"found in system p1d8f incorrect gear ratio clutch 1. p1d9f incorrect gear ratio clutch 2. p1d9g incorrect gear ratio clutch A or B. p1d95 transmission control module failure (internal to transmission). p215c output shaft speed.
Took sample of trans fluid. Fluid is contaminated with clutch material and burnt. 
pan is off of vehicle",TR001F  ,WA,TR001F  ,9/1/2021,8/25/2021,DODGE,88121,DURANGO R/T,2014,Internal Lubricated Component                               
C000015104      ,A01 ,5/4/2021 0:00,340.08,406,0,0,-100,0,$646.08 ,WA,5/4/2021 0:00,"Tech verified concern the vacuum booster is leaking and not holding pressure- codes were c025e- need to replace vacuum booster before trans can be looked at
4/21 - started repair and found master cylinder was leaking into the vacuum booster.",BR004   ,WA,BR004   ,4/20/2021,4/16/2021,GMC,103758,YUKON XL K1500 SLT,2015,Vacuum Assist Booster                                       
C000015676      ,A01 ,6/2/2021 0:00,0,0,0,118,0,0,$118.00 ,TX,6/2/2021 0:00,,ZBRAW100,WA,ZBRAW100,5/19/2021,4/15/2021,GMC,103000,YUKON XL K1500 SLT,2015,RA-Tow Service($100 Max)                                    
C000018096      ,A01 ,10/13/2021 0:00,0,0,0,95,0,0,$95.00 ,TX,10/13/2021 0:00,tech took for test drive and found metal in fluid and torque converter shuddering,TREX06  ,WA,TREX06  ,9/28/2021,9/28/2021,GMC,108562,YUKON XL K1500 SLT,2015,Transmission Case                                           
C000018096      ,A01 ,10/22/2021 0:00,228.1,1530,0,0,-100,0,"$1,658.10 ",WA,10/22/2021 0:00,tech took for test drive and found metal in fluid and torque converter shuddering,TREX06  ,WA,TREX06  ,9/28/2021,9/28/2021,GMC,108562,YUKON XL K1500 SLT,2015,Transmission Case                                           
C000018096      ,A01 ,10/28/2021 0:00,2660,0,0,0,0,0,"$2,660.00 ",TX,10/28/2021 0:00,tech took for test drive and found metal in fluid and torque converter shuddering,TREX06  ,WA,TREX06  ,9/28/2021,9/28/2021,GMC,108562,YUKON XL K1500 SLT,2015,Transmission Case                                           
C000015969      ,A01 ,6/11/2021 0:00,530.69,729,0,0,-200,0,"$1,059.69 ",WA,6/11/2021 0:00,"Tech duplicated concern, compressor hard to spin the clutch need to replace clutch assembly and compressor as the ac clutch sized causing damage to compressor",AC001   ,WA,AC001   ,6/7/2021,6/7/2021,TOYOTA,49404,TACOMA DOUBLE CAB LONG BED,2013,Compressor                                                  
C000018945      ,A01 ,11/22/2021 0:00,298.47,114.85,0,0,-200,0,$213.32 ,WA,11/22/2021 0:00,"Tech verified cs concerns. Tech found the step motor is working, found  the power and ground is okay. Tech found the rear hinge is locked up and wont allow the step to come down
no external damage found",ELEX    ,WA,ELEX    ,11/8/2021,11/8/2021,GMC,56724,YUKON DENALI,2017,X-Misc Non-Excluded Electrical Components                   
C000017081      ,A01 ,8/6/2021 0:00,393.09,430.5,0,0,-200,0,$623.59 ,WA,8/6/2021 0:00,AC compressor is failing.. AC compressor is getting power but does not charge the system,AC001   ,WA,AC001   ,8/2/2021,7/8/2021,JEEP,75938,RENEGADE TRAILHAWK,2015,Compressor                                                  
C000015599      ,A01 ,5/24/2021 0:00,624.5,264,0,0,-200,0,$688.50 ,WA,5/24/2021 0:00,"Tech verified concern of trial, brake light works no codes found",TREX05  ,WA,TREX05  ,5/14/2021,5/14/2021,NISSAN,60581,ALTIMA SR,2016,Transmission Range Sensor                                   
C000021635      ,A01 ,4/15/2022 0:00,133,495,0,0,-200,0,$428.00 ,WA,4/15/2022 0:00,"Tech verified leak coming from the trans cooler lines are leaking to a drip
Tech scanned code was a p2002 particle sensor below threshold no mods to diesel system no leaks
in service date 7/3/19 both are under 3/36k",TREX04  ,WA,TREX04  ,3/8/2022,3/8/2022,RAM,52405,2500 LARAMIE,2019,Transmission Cooler Lines                                   
C000021635      ,A02 ,4/15/2022 0:00,182,330,0,0,0,0,$512.00 ,WA,4/15/2022 0:00,"Tech verified leak coming from the trans cooler lines are leaking to a drip
Tech scanned code was a p2002 particle sensor below threshold no mods to diesel system no leaks
in service date 7/3/19 both are under 3/36k",FUEX02  ,WA,FUEX02  ,3/8/2022,3/8/2022,RAM,52405,2500 LARAMIE,2019,Emissions Components                                        
C000022473      ,A01 ,4/25/2022 0:00,94.74,67.5,0,0,-100,0,$62.24 ,WA,4/25/2022 0:00,key broke off in ignition.,ELEX55A ,WA,ELEX55A ,4/8/2022,4/6/2022,GMC,91718,TERRAIN SLE,2016,Keyless Entry Remote                                        
C000016174      ,A01 ,6/18/2021 0:00,834,273,0,0,-100,0,"$1,007.00 ",WA,6/18/2021 0:00,verified concern.  applied 12v and both high low work.  totally integrated power mod has failed.,ELEX18  ,WA,ELEX18  ,6/15/2021,6/15/2021,JEEP,77453,PATRIOT LATITUDE,2016,Body Control Module (BCM)                                   
C000020192      ,A01 ,1/18/2022 0:00,0,0,0,95,0,0,$95.00 ,TX,1/18/2022 0:00,"tech findings
oil cooler line leaking
front struts are blown and leaking
lower ball joints loose on both sides
rear brake calipers are wearing uneven.",ENEX03  ,WA,ENEX03  ,1/10/2022,1/10/2022,CHEVROLET,79464,TAHOE K1500 LTZ,2015,Engine Oil Cooler Lines                                     
C000020192      ,A01 ,1/28/2022 0:00,85.51,307.89,0,0,-100,0,$293.40 ,WA,1/28/2022 0:00,"tech findings
oil cooler line leaking
front struts are blown and leaking
lower ball joints loose on both sides
rear brake calipers are wearing uneven.",ENEX03  ,WA,ENEX03  ,1/10/2022,1/10/2022,CHEVROLET,79464,TAHOE K1500 LTZ,2015,Engine Oil Cooler Lines                                     
C000020192      ,A02 ,1/28/2022 0:00,0,419.85,0,0,0,0,$419.85 ,WA,1/28/2022 0:00,"tech findings
oil cooler line leaking
front struts are blown and leaking
lower ball joints loose on both sides
rear brake calipers are wearing uneven.",SUEX01A ,WA,SUEX01A ,1/10/2022,1/10/2022,CHEVROLET,79464,TAHOE K1500 LTZ,2015,Strut(s)                                                    
C000020192      ,A03 ,1/28/2022 0:00,193.8,937.67,0,0,0,0,"$1,131.47 ",WA,1/28/2022 0:00,"tech findings
oil cooler line leaking
front struts are blown and leaking
lower ball joints loose on both sides
rear brake calipers are wearing uneven.",SU003FA ,WA,SU003FA ,1/10/2022,1/10/2022,CHEVROLET,79464,TAHOE K1500 LTZ,2015,Ball Joint(s)                                               
C000020192      ,A02 ,3/7/2022 0:00,821.79,0,0,0,0,0,$821.79 ,CA,3/7/2022 0:00,"tech findings
oil cooler line leaking
front struts are blown and leaking
lower ball joints loose on both sides
rear brake calipers are wearing uneven.",SUEX01A ,WA,SUEX01A ,1/10/2022,1/10/2022,CHEVROLET,79464,TAHOE K1500 LTZ,2015,Strut(s)                                                    
C000018381      ,A01 ,10/28/2021 0:00,0,0,0,95,0,0,$95.00 ,TX,10/28/2021 0:00,"Stored code p0796 pc solenoid valve stuck off
took on test drive with scan tool, verified that the torque converter is flipping under normal conditions
removed trans pan and found chunks of metal
11/3 - after repair after test drive noticed trans cooler lines are leaking.  inspector and tech didn't mention at the time of original diag.",TREX06  ,WA,TREX06  ,10/11/2021,10/11/2021,CHEVROLET,86230,TAHOE K1500 LTZ,2016,Transmission Case                                           
C000018381      ,A01 ,10/28/2021 0:00,0,0,0,320,0,0,$320.00 ,WA,10/28/2021 0:00,"Stored code p0796 pc solenoid valve stuck off
took on test drive with scan tool, verified that the torque converter is flipping under normal conditions
removed trans pan and found chunks of metal
11/3 - after repair after test drive noticed trans cooler lines are leaking.  inspector and tech didn't mention at the time of original diag.",TREX06  ,WA,TREX06  ,10/11/2021,10/11/2021,CHEVROLET,86230,TAHOE K1500 LTZ,2016,Transmission Case                                           
C000022587      ,A01 ,4/25/2022 0:00,207.62,261,0,0,-200,0,$268.62 ,WA,4/25/2022 0:00,verified had to get door open[ to diagnose found the door latch actuator has failed,EL021M  ,WA,EL021M  ,4/13/2022,4/13/2022,CHEVROLET,59308,SILVERADO K2500 HEAVY DUTY LT,2013,Power Door Lock Actuator(s)                                 
C000019188      ,A01 ,12/2/2021 0:00,655.3,382.14,0,0,-100,0,$937.44 ,WA,12/2/2021 0:00,codes p0750 transmission solenoid pack.  solenoid pack has failed,TR006A  ,WA,TR006A  ,11/18/2021,11/17/2021,RAM,99983,1500 SLT,2013,Transmission Solenoid Pack                                  
C000022228      ,A01 ,4/4/2022 0:00,55.7,227.72,0,0,-100,0,$183.42 ,WA,4/4/2022 0:00,"p0456, evap leak. smoke test and found lead at teh ESIM (leak detector pump)",FUEX02  ,WA,FUEX02  ,3/30/2022,3/30/2022,JEEP,72645,GRAND CHEROKEE LAREDO,2016,Emissions Components                                        
C000022851      ,A01 ,4/28/2022 0:00,33.7,191.76,0,0,-100,0,$125.46 ,WA,4/28/2022 0:00,"p0016, cam crank correlation
p0455 smoke checked evap system and found the purge solenoid valve on engine leaking.
p0016, cam crank correlation timing not in sync. scanned system did not find any failures. ran relearn procedure code did not come back on.
verified fluid leak. found the right engine mount leaking",FUEX02  ,WA,FUEX02  ,4/20/2022,4/20/2022,JEEP,73237,GRAND CHEROKEE LAREDO,2016,Emissions Components                                        
C000022851      ,A02 ,4/28/2022 0:00,122.06,395.51,0,0,0,0,$517.57 ,WA,4/28/2022 0:00,"p0016, cam crank correlation
p0455 smoke checked evap system and found the purge solenoid valve on engine leaking.
p0016, cam crank correlation timing not in sync. scanned system did not find any failures. ran relearn procedure code did not come back on.
verified fluid leak. found the right engine mount leaking",EN011   ,WA,EN011   ,4/20/2022,4/20/2022,JEEP,73237,GRAND CHEROKEE LAREDO,2016,Engine Mount(s)                                             
C000019869      ,A01 ,12/30/2021 0:00,319.61,260,0,0,-100,40.57,$520.18 ,FL,12/30/2021 0:00,"Tech duplicated cel is on only stored code for intake gonna clear code and see if it goes away 
Tech confirmed vehicle overheats found leaking water pump weephole leaks to a full drip",CO007   ,WA,CO007   ,12/22/2021,12/22/2021,GMC,177825,YUKON DENALI,2007,Water Pump                                                  
C000015399      ,A01 ,8/30/2021 0:00,0,0,0,0,-100,0,($100.00),WA,8/30/2021 0:00,"will not shift out of first gear. fluid dirty with metal. fluid full
oil cooler lines trans cooler lines and lt valve cover gasket driver side",TR001F  ,WA,TR001F  ,5/4/2021,4/29/2021,CADILLAC,115737,ESCALADE LUXURY,2010,Internal Lubricated Component                               
C000015399      ,A02 ,8/30/2021 0:00,25.81,193.7,0,0,0,0,$219.51 ,WA,8/30/2021 0:00,"will not shift out of first gear. fluid dirty with metal. fluid full
oil cooler lines trans cooler lines and lt valve cover gasket driver side",ENSG08  ,WA,ENSG08  ,5/4/2021,4/29/2021,CADILLAC,115737,ESCALADE LUXURY,2010,S&G - Valve Cover Gasket(s)                                 
C000015472      ,A01 ,5/28/2021 0:00,837.27,399.9,0,0,-200,0,"$1,037.17 ",WA,5/28/2021 0:00,"test drove and confirmed shift shudders p0751-00 shift sol. 1.  when valve body is removed need to see if contam. no fluid leaks, fluid looked okay no signs of metal or clutch material",TR001F  ,WA,TR001F  ,5/7/2021,5/4/2021,CHEVROLET,174928,SUBURBAN K1500 LTZ,2009,Internal Lubricated Component                               
C000015386      ,A01 ,5/17/2021 0:00,0,0,0,95,0,0,$95.00 ,TX,5/17/2021 0:00,"codes p0302 misfire on cylinder 2.  bad coil.
trans pan full of metal.",TR001F  ,WA,TR001F  ,5/3/2021,5/3/2021,FORD,165839,F150 SUPERCREW,2007,Internal Lubricated Component                               
C000015386      ,A01 ,5/17/2021 0:00,0,1249.6,0,0,-50,0,"$1,199.60 ",WA,5/17/2021 0:00,"codes p0302 misfire on cylinder 2.  bad coil.
trans pan full of metal.",TR001F  ,WA,TR001F  ,5/3/2021,5/3/2021,FORD,165839,F150 SUPERCREW,2007,Internal Lubricated Component                               
C000015386      ,A02 ,5/17/2021 0:00,79.36,127.8,0,0,0,0,$207.16 ,WA,5/17/2021 0:00,"codes p0302 misfire on cylinder 2.  bad coil.
trans pan full of metal.",EL046   ,WA,EL046   ,5/3/2021,5/3/2021,FORD,165839,F150 SUPERCREW,2007,Ignition Coil(s)/Coil Pack                                  
C000015386      ,A01 ,6/10/2021 0:00,1824,0,0,0,0,0,"$1,824.00 ",VA,6/10/2021 0:00,"codes p0302 misfire on cylinder 2.  bad coil.
trans pan full of metal.",TR001F  ,WA,TR001F  ,5/3/2021,5/3/2021,FORD,165839,F150 SUPERCREW,2007,Internal Lubricated Component                               
C000020450      ,A01 ,1/25/2022 0:00,225.32,209.74,0,0,-100,0,$335.06 ,WA,1/25/2022 0:00,"test drove the vehicle and verified the customer concern , lifted the vehicle did a visual inspection and found that the right front drive axle is failing joint on the right front axle is coming apart",DAEX01F ,WA,DAEX01F ,1/19/2022,1/19/2022,CHEVROLET,113174,SILVERADO K1500 CREW CAB,2007,Drive Axle Housing                                          
C000021503      ,A01 ,4/12/2022 0:00,170.75,563.3,0,0,-100,0,$634.05 ,WA,4/12/2022 0:00,"codes p0521 oil pressure switch.  actual oil pressure is good.  switch is starting to fail
tech find - left engine mount is leaking
tech find - rear pinion seal leaking
tech find - rt rear axle seal leaking",EN011   ,WA,EN011   ,3/3/2022,3/3/2022,CHEVROLET,114628,SILVERADO K1500 CREW CAB,2007,Engine Mount(s)                                             
C000020977      ,A01 ,2/28/2022 0:00,150.74,290,0,0,-200,0,$240.74 ,WA,2/28/2022 0:00,water pump making noise,CO007   ,WA,CO007   ,2/10/2022,2/10/2022,FORD,101603,F150 SUPERCREW,2014,Water Pump                                                  
C000017237      ,A01 ,8/31/2021 0:00,258,684,0,0,-100,0,$842.00 ,WA,8/31/2021 0:00,"O2 SENSOR BAD, BANK 2 SENSOR 2, DTC P0160",EL045   ,OR,EL045   ,8/10/2021,8/9/2021,AUDI,23092,R8 4.2 QUATTRO,2014,Oxygen Sensor(s)                                            
C000017659      ,A01 ,9/15/2021 0:00,0,0,0,95,0,0,$95.00 ,TX,9/15/2021 0:00,"codes p0300, p0308, p050b found in the system
internal lifter and cam damage verified by disassembly",EN001F  ,OR,EN001F  ,8/31/2021,8/24/2021,DODGE,47961,CHALLENGER SRT-8,2013,Internal Lubricated Component(s)                            
C000017659      ,A01 ,9/27/2021 0:00,2562.88,2067,0,0,-200,0,"$4,429.88 ",OR,9/27/2021 0:00,"codes p0300, p0308, p050b found in the system
internal lifter and cam damage verified by disassembly",EN001F  ,OR,EN001F  ,8/31/2021,8/24/2021,DODGE,47961,CHALLENGER SRT-8,2013,Internal Lubricated Component(s)                            
C000019189      ,A01 ,11/29/2021 0:00,0,0,0,95,0,0,$95.00 ,TX,11/29/2021 0:00,"Tech verified cel is on two codes seperate issues 1 p1672 radiator fan has shorted out harness power and ground 
Second code p1530 fault vvt adjuster solenoid- oil level is good no leaks, pulled one out to see if fault follows and it did
12/01 SA said that they have replaced the vvt solenoids and the code has not come back on",CO003   ,OR,CO003   ,11/18/2021,11/18/2021,PORSCHE,58800,CAYMAN GT4,2016,Engine Cooling Fan Motor                                    
C000019189      ,A01 ,12/7/2021 0:00,169.05,270,0,0,-200,16.07,$255.12 ,CA,12/7/2021 0:00,"Tech verified cel is on two codes seperate issues 1 p1672 radiator fan has shorted out harness power and ground 
Second code p1530 fault vvt adjuster solenoid- oil level is good no leaks, pulled one out to see if fault follows and it did
12/01 SA said that they have replaced the vvt solenoids and the code has not come back on",CO003   ,OR,CO003   ,11/18/2021,11/18/2021,PORSCHE,58800,CAYMAN GT4,2016,Engine Cooling Fan Motor                                    
C000019189      ,A02 ,12/7/2021 0:00,384.31,930,0,0,0,36.5,"$1,350.81 ",CA,12/7/2021 0:00,"Tech verified cel is on two codes seperate issues 1 p1672 radiator fan has shorted out harness power and ground 
Second code p1530 fault vvt adjuster solenoid- oil level is good no leaks, pulled one out to see if fault follows and it did
12/01 SA said that they have replaced the vvt solenoids and the code has not come back on",ELEX04  ,OR,ELEX04  ,11/18/2021,11/18/2021,PORSCHE,58800,CAYMAN GT4,2016,Oil Level Sensor                                            
C000015468      ,A01 ,5/19/2021 0:00,532.99,1183.64,0,0,-200,0,"$1,516.63 ",OR,5/19/2021 0:00,Tech verified noise and air not blowing cold found ac charge was low. refilled checked for leaks and found both discharge line and suction line leaking Freon no other leaks noted,ACEX    ,OR,ACEX    ,5/7/2021,4/27/2021,PORSCHE,39392,911 CARRERA S,2014,X-Misc Non-Excluded A/C-Heater Components                   
C000019686      ,A01 ,12/21/2021 0:00,0,0,0,95,0,0,$95.00 ,TX,12/21/2021 0:00,"found both axle are slinging grease and axles are worn
DS motor mount is broken
front lower control arms are worn
front sway bar bushings are worn",DA005M  ,OR,DA005M  ,12/13/2021,12/13/2021,LAND ROVER,57406,RANGE ROVER SUPERCHARGED,2015,C.V. Joint(s)                                               
C000019686      ,A01 ,12/23/2021 0:00,1723.96,480,0,-532.84,-200,0,"$1,471.12 ",OR,12/23/2021 0:00,"found both axle are slinging grease and axles are worn
DS motor mount is broken
front lower control arms are worn
front sway bar bushings are worn",DA005M  ,OR,DA005M  ,12/13/2021,12/13/2021,LAND ROVER,57406,RANGE ROVER SUPERCHARGED,2015,C.V. Joint(s)                                               
C000019686      ,A02 ,12/23/2021 0:00,190.07,688,0,0,0,0,$878.07 ,OR,12/23/2021 0:00,"found both axle are slinging grease and axles are worn
DS motor mount is broken
front lower control arms are worn
front sway bar bushings are worn",EN011   ,OR,EN011   ,12/13/2021,12/13/2021,LAND ROVER,57406,RANGE ROVER SUPERCHARGED,2015,Engine Mount(s)                                             
C000019686      ,A03 ,12/23/2021 0:00,316.83,128,0,0,0,0,$444.83 ,OR,12/23/2021 0:00,"found both axle are slinging grease and axles are worn
DS motor mount is broken
front lower control arms are worn
front sway bar bushings are worn",SU001FA ,OR,SU001FA ,12/13/2021,12/13/2021,LAND ROVER,57406,RANGE ROVER SUPERCHARGED,2015,Control Arm(s)                                              
C000019686      ,A04 ,12/23/2021 0:00,101.96,160,0,0,0,0,$261.96 ,OR,12/23/2021 0:00,"found both axle are slinging grease and axles are worn
DS motor mount is broken
front lower control arms are worn
front sway bar bushings are worn",SU012FR ,OR,SU012FR ,12/13/2021,12/13/2021,LAND ROVER,57406,RANGE ROVER SUPERCHARGED,2015,Stabilizer Bar Bushing(s)                                   
C000020424      ,A01 ,1/28/2022 0:00,0,0,0,95,0,0,$95.00 ,TX,1/28/2022 0:00,Tech verified concern reboots every 45 seconds no soft ware updates made changes,ELEX40  ,OR,ELEX40  ,1/19/2022,1/14/2022,PORSCHE,19821,CAYMAN GT4,2016,Radio / Nav / MMI                                           
